NORTHEAST REGION FISH BYCATCH BY FISHERY 4,,,,,,
First Edition Update 2: 2012 Data,,,,,,
COMMON NAME,SCIENTIFIC NAME,YEAR,BYCATCH,UNIT,CV,FOOTNOTE(S)
Northern shortfin squid,Illex illecebrosus,2012,"             791,172.05",POUND,.6501,i
Ocean pout,Zoarces americanus,2012,"              17,966.67",POUND,.5242,
Ocean quahog,Arctica islandica,2012,                   0.00,POUND,,
Offshore hake,Merluccius albidus,2012,                 766.86,POUND,.6421,
Pollock,Pollachius virens,2012,                  13.41,POUND,2.2897,
Red deepsea crab,Chaceon quinquedens,2012,                 328.97,POUND,1.9141,j
Red hake,Urophycis chuss,2012,"             576,005.88",POUND,.4361,k
Scup,Stenotomus chrysops,2012,"             391,981.96",POUND,.6918,
Sea scallop,Placopecten magellanicus,2012,"              76,218.17",POUND,.6143,l
Silver hake,Merluccius bilinearis,2012,"             436,511.26",POUND,.4424,m
Skate Complex,Rajidae,2012,"           3,698,451.85",POUND,.4024,n
Spiny dogfish,Squalus acanthias,2012,"           2,760,704.56",POUND,.3965,
Summer flounder,Paralichthys dentatus,2012,"             123,420.05",POUND,.5031,
Tilefish,Lopholatilus chamaeleonticeps,2012,"               1,371.57",POUND,1.2691,
White hake,Urophycis tenuis,2012,                 139.99,POUND,1.0749,
Windowpane,Scophthalmus aquosus,2012,"             135,561.13",POUND,.5231,"p, q"
Winter flounder,Pseudopleuronectes americanus,2012,"             179,319.88",POUND,.3908,r
Witch flounder,Glyptocephalus cynoglossus,2012,"              85,420.15",POUND,.4184,
Yellowtail flounder,Limanda ferruginea,2012,"              34,969.33",POUND,.8528,s
TOTAL FISHERY BYCATCH,,,"          11,591,028.06",POUND,,
TOTAL FISHERY LANDINGS,,,"          61,503,603.00",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"          73,094,631.06",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.16,,,
New England Bottom Longline,,,,,,
Acadian redfish,Sebastes fasciatus,2012,                  82.94,POUND,.5071,a
American plaice,Hippoglossoides platessoides,2012,                   0.00,POUND,,
Atlantic cod,Gadus morhua,2012,"              43,489.40",POUND,.1745,b
Atlantic halibut,Hippoglossus hippoglossus,2012,                   0.00,POUND,,
Atlantic herring,Clupea harengus,2012,                   0.00,POUND,,
Atlantic mackerel,Scomber scombrus,2012,                   0.00,POUND,,
Atlantic salmon,Salmo salar,2012,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2012,                   0.00,POUND,,
Atlantic wolffish,Anarhichas lupus,2012,"               2,459.19",POUND,.2334,d
Black sea bass,Centropristis striata,2012,                  52.28,POUND,.8527,
Bluefish,Pomatomus saltatrix,2012,                 102.90,POUND,.5386,
Butterfish,Peprilus triacanthus,2012,                   0.00,POUND,,
Goosefish,Lophius americanus,2012,                   0.00,POUND,,"e, f"
Haddock,Melanogrammus aeglefinus,2012,"               5,150.36",POUND,.3057,g
